Region,Children in poverty,Access to exercise opportunities,Adult obesity,Alcohol-impaired driving deaths,Excessive drinking
South,0.413,0.414,0.357,0.36,
South,0.379,0.486,0.357,0.3,
South,0.365,0.584,0.331,0.158,0.108
South,0.379,0.63,0.325,0.125,0.108
South,0.254,0.622,0.352,0.305,0.122
South,0.259,0.87,0.348,0.304,0.122
South,0.34,0.341,0.328,0.31,
South,0.304,0.301,0.345,0.265,
South,0.279,0.886,0.331,0.346,0.159
South,0.257,0.878,0.329,0.331,0.159
South,0.317,0.086,0.342,0.32,
South,0.34,0.283,0.352,0.389,
South,0.151,0.458,0.315,0.297,0.105
South,0.155,0.734,0.315,0.282,0.105
South,0.381,0.898,0.294,0.467,
South,0.352,0.898,0.311,0.4,
South,0.451,0.286,0.302,0.4,
South,0.43,0.286,0.312,0.294,
South,0.302,0.528,0.298,0.438,0.109
South,0.325,0.637,0.31,0.4,0.109
South,0.353,0.593,0.379,0.077,0.156
South,0.329,0.465,0.387,0.077,0.156
South,0.331,0.365,0.303,0.158,0.071
South,0.387,0.554,0.302,0.238,0.071
South,0.433,0.656,0.386,0.237,0.082
South,0.502,0.473,0.395,0.171,0.082
South,0.386,0.606,0.342,0.35,
South,0.407,0.533,0.348,0.316,
South,0.302,0.109,0.309,0.326,0.119
South,0.31,0.389,0.363,0.308,0.119
South,0.3,0.422,0.332,0.344,0.155
South,0.3,0.587,0.344,0.406,0.155
South,0.244,0.79,0.286,0.4,0.15
South,0.259,0.782,0.292,0.311,0.15
South,0.252,0.506,0.334,0.353,0.096
South,0.229,0.549,0.339,0.353,0.096
South,0.396,0.23,0.356,0.2,
South,0.413,0.23,0.367,0.2,
South,0.325,0.537,0.325,0.325,0.156
South,0.313,0.56,0.343,0.243,0.156
West,0.411,0.136,0.318,0.209,0.134
West,0.493,0.223,0.319,0.196,0.134
West,0.285,0.145,0.247,0.171,0.129
West,0.291,0.746,0.236,0.157,0.129
West,0.304,0.741,0.233,0.204,0.151
West,0.281,0.817,0.24,0.227,0.151
West,0.342,0.723,0.263,0.283,0.147
West,0.365,0.818,0.271,0.25,0.147
West,0.284,0.13,0.339,0.344,0.138
West,0.268,0.435,0.35,0.385,0.138
West,0.153,0.05,0.342,0.438,0.181
West,0.138,0.05,0.354,0.316,0.181
West,0.377,0.185,0.312,0.242,0.203
West,0.369,0.355,0.32,0.179,0.203
West,0.253,0.509,0.228,0.289,0.167
West,0.251,0.926,0.226,0.278,0.167
West,0.343,0.206,0.271,0.264,0.163
West,0.34,0.68,0.266,0.227,0.163
West,0.384,0.365,0.317,0.285,0.114
West,0.431,0.478,0.312,0.265,0.114
West,0.291,0.551,0.241,0.361,0.152
West,0.265,0.857,0.221,0.341,0.152
West,0.237,0.143,0.314,0.28,0.181
West,0.243,0.706,0.302,0.284,0.181
West,0.373,0.24,0.201,0.174,0.174
West,0.347,0.477,0.205,0.2,0.174
West,0.258,0.529,0.234,0.238,0.141
West,0.244,0.9,0.259,0.229,0.141
West,0.319,0.491,0.311,0.295,0.141
West,0.294,0.769,0.312,0.273,0.141
